[Source Language],[Source Text],[Target Language],[Target Text],[Context Categorization Hashtags]
"English","abdomen","Finnish","vatsa/vatsan alue","#anatomy"
"English","abet","Finnish","avustaa","#action"
"English","abetting","Finnish","avustaminen","#action"
"English","abide","Finnish","sietää","#action"
"English","abiding","Finnish","kestävä","#action"
"English","abject","Finnish","alhainen","#adjective"
"English","ably","Finnish","taidokkaasti","#adverb"
"English","abode","Finnish","asunto/asuinkunta","#noun"
"English","abreast","Finnish","rinnakkain","#adverb"
"English","abscess","Finnish","paise","#medical"
"English","abstinence","Finnish","pidättyväisyys","#lifestyle"
"English","abyss","Finnish","syvänne","#geography"
"English","accrediting","Finnish","valtuuttaminen","#action"
"English","acquaintance","Finnish","tuttavuus","#noun"
"English","acreage","Finnish","maa-ala/pinta-ala","#noun"
"English","acuity","Finnish","terävyys/tarkkuus","#noun"
"English","adhert to","Finnish","noudattaa","#action"
"English","adjust to the gloom","Finnish","sopeutua hämäryyteen","#phrase"
"English","adrift","Finnish","ajelehtien","#adjective"
"English","adze","Finnish","kirves","#tool"
"English","aegis","Finnish","suojelus","#noun"
"English","affably","Finnish","ystävällisesti","#adverb"
"English","affliction","Finnish","vaiva/kärsimys","#noun"
"English","agave","Finnish","agaave (kasvi)","#plant"
"English","agitated","Finnish","levoton","#adjective"
"English","agog","Finnish","innokas","#adjective"
"English","aide-de-camp","Finnish","adjutantti","#military"
"English","aileron","Finnish","siiveke","#aviation"
"English","ailment","Finnish","vaiva/sairaus","#medical"
"English","alcazar","Finnish","alcazar (linna tai palatsi espanjalaisessa tai portugalilaisessa tyylissä)","#architecture #medieval #history"
"English","alcove","Finnish","syvennys","#architecture #interior"
"English","alder grove","Finnish","leppälehto","#forest #plant #geography"
"English","alehouse","Finnish","kapakka","#establishment #building"
"English","alights","Finnish","laskeutuu/astuu alas","#action"
"English","allay","Finnish","lievittää","#action"
"English","alluded","Finnish","viittasi","#action"
"English","aloof","Finnish","etäinen","#adjective"
"English","amble","Finnish","kävellä hitaasti/rennosti","#action"
"English","ambling","Finnish","käveleminen hitaasti/rennosti","#action"
"English","amicably","Finnish","sovinnollisesti","#adverb"
"English","amiss","Finnish","vialla","#adjective"
"English","amiss","Finnish","viallinen","#adjective"
"English","among the monolith sunk into the ground","Finnish","maahan vajonneiden megaliittien keskellä","#phrase #geography #history #archaeology #fantasy_fiction"
"English","among the straw and muck","Finnish","oljen ja lian seassa","#geography"
"English","an edict","Finnish","asetus/päätös","#legal"
"English","an elambic","Finnish","alembic (tislauslaite)","#tool"
"English","an onager","Finnish","onageri (heitinkone)","#tool"
"English","anaali","Finnish","secluded","#adjective"
"English","anachronistic","Finnish","anakronistinen/aikansa elänyt/vanhentunut","#adjective"
"English","anathema","Finnish","kirottu asia","#noun"
"English","anchorite","Finnish","erakko","#person"
"Elven","an'givare","English","informer","#person"
"Elven","an'givare","Finnish","ilmiantaja","#person"
"English","annals","Finnish","vuosikirjat","#history"
"English","anointed with","Finnish","voideltu jollakin","#action"
"English","anserine","Finnish","hanhimainen","#adjective"
"English","antediluvian","Finnish","muinainen","#adjective"
"English","any grub with me","Finnish","onko sinulla mitään syötävää mukanasi?","#question"
"English","aperture","Finnish","aukko","#noun"
"English","apogee","Finnish","korkein kohta","#noun"
"English","apologetically","Finnish","anteeksipyytävästi","#adverb"
"English","apostates","Finnish","luopiot","#person"
"English","apothecary","Finnish","apteekki","#person"
"English","appanage of","Finnish","apanage (lahjoitettu maa tai elatuslähde)","#property #history"
"English","apparation","Finnish","ilmestys/haamu","#noun"
"English","apparel","Finnish","vaatteet","#noun"
"English","appellation","Finnish","nimitys","#noun"
"English","apprehended","Finnish","pidätetty","#action"
"English","apron","Finnish","käytävä/pöytäkoura","#noun"
"English","aquiline","Finnish","kotkamainen/kotkan kaltainen","#adjective"
"English","arcana","Finnish","salaisuudet","#noun"
"English","arcana of","Finnish","salaisuudet/esoteria/mystiikka","#noun"
"English","ardous","Finnish","vaativainen/työläs","#adjective"
"English","are faring","Finnish","menestyvät/pärjäävät","#idiom"
"English","are you feeling a pinch?","Finnish","tuntuuko sinusta niukkuutta","#idiom"
"English","arid","Finnish","kuiva","#adjective"
"English","arrant","Finnish","täysin/äärimmäisen","#adverb"
"English","arterial","Finnish","valtimoinen","#adjective"
